date,time,open,high,low,close,volume
2000.01.02,00:00,67.15,67.2,67.08,67.12,69
2000.01.03,00:00,67.08,67.47,66.67,66.82,1110
2000.01.04,00:00,66.77,67.94,66.72,67.61,1062
2000.01.05,00:00,67.6,68.82,67.26,68.4,1003
2000.01.06,00:00,68.41,69.1,68.35,68.74,985
2000.01.07,00:00,68.72,69.25,68.54,68.97,414
2000.01.09,00:00,68.82,68.99,68.81,68.91,37
2000.01.10,00:00,68.92,69.17,68.42,69.06,1046
2000.01.11,00:00,69.08,69.88,68.89,69.71,917
2000.01.12,00:00,69.72,69.93,69.5,69.58,1037
2000.01.13,00:00,69.6,70.98,69.58,70.85,1167
2000.01.14,00:00,70.81,70.87,70.2,70.48,808
2000.01.16,00:00,70.39,70.39,70.24,70.29,39
2000.01.17,00:00,70.29,70.39,69.47,69.67,1111
2000.01.18,00:00,69.7,70.44,69.53,70.25,935
2000.01.19,00:00,70.24,70.55,69.74,69.87,1008
2000.01.20,00:00,69.85,70.41,69.64,70.14,1023
2000.01.21,00:00,70.11,70.16,69.32,69.45,1070
2000.01.23,00:00,69.28,69.36,69.27,69.3,39
2000.01.24,00:00,69.27,69.46,68.72,69.09,1080
2000.01.25,00:00,69.11,69.6,68.99,69.36,991
2000.01.26,00:00,69.38,69.51,68.74,68.9,1146
2000.01.27,00:00,68.87,69.17,68.53,68.76,1079
2000.01.28,00:00,68.78,68.78,66.85,67.93,1009
2000.01.30,00:00,68.41,68.41,68.14,68.15,39
2000.01.31,00:00,68.24,68.56,67.62,68.34,1208
2000.02.01,00:00,68.33,69.03,67.7,68.83,990
2000.02.02,00:00,68.81,69.7,68.69,68.86,1166
2000.02.03,00:00,68.88,69.24,67.96,68,1493
2000.02.04,00:00,68.01,68.55,67.68,68.38,1328
2000.02.06,00:00,68.38,68.61,68.38,68.57,76
2000.02.07,00:00,68.57,69.77,68.42,68.99,1861
2000.02.08,00:00,69.01,69.75,68.9,69.23,1974
2000.02.09,00:00,69.24,69.53,68.49,69.18,2004
2000.02.10,00:00,69.16,69.25,68.43,68.61,2282
2000.02.11,00:00,68.6,69.44,68.36,68.61,1702
2000.02.13,00:00,68.77,68.81,68.69,68.78,77
2000.02.14,00:00,68.83,68.83,68.07,68.22,1702
2000.02.15,00:00,68.25,68.91,67.84,68.79,2146
2000.02.16,00:00,68.79,69.26,68.72,69.08,1651
2000.02.17,00:00,69.06,70.06,68.95,69.78,1678
2000.02.18,00:00,69.77,70.25,69.66,69.85,1306
2000.02.20,00:00,69.68,69.74,69.49,69.57,82
2000.02.21,00:00,69.59,69.92,69.25,69.7,1972
2000.02.22,00:00,69.68,69.99,68.72,68.86,1905
2000.02.23,00:00,68.89,69.23,68.42,69.19,1824
2000.02.24,00:00,69.19,69.36,68.01,68.73,1725
2000.02.25,00:00,68.67,68.96,67.73,67.89,1515
2000.02.28,00:00,67.54,67.54,66.51,67.37,1592
2000.02.29,00:00,67.36,68.28,67.26,68.01,1603
2000.03.01,00:00,68.02,68.02,64.52,64.69,1955
2000.03.02,00:00,64.59,65.71,64.54,65.48,1721
2000.03.03,00:00,65.45,65.77,65.14,65.55,1401
2000.03.05,00:00,65.59,65.59,65.37,65.43,88
2000.03.06,00:00,65.39,65.59,64.51,64.67,1751
2000.03.07,00:00,64.69,65.07,63.86,64.3,1756
2000.03.08,00:00,64.32,65.43,64.19,65.33,1602
2000.03.09,00:00,65.31,65.76,65.06,65.4,1682
2000.03.10,00:00,65.42,65.58,65.08,65.41,1312
2000.03.12,00:00,65.14,65.36,65.05,65.31,101
2000.03.13,00:00,65.31,65.34,64.36,64.98,1757
2000.03.14,00:00,64.99,65.18,64.3,64.75,1874
2000.03.15,00:00,64.73,65.18,64.13,64.66,1726
2000.03.16,00:00,64.68,65,64.29,64.6,1753
2000.03.17,00:00,64.6,64.96,64.12,64.76,1553
2000.03.19,00:00,64.82,64.92,64.72,64.83,89
2000.03.20,00:00,64.83,64.96,64.41,64.71,1757
2000.03.21,00:00,64.75,65.47,64.69,65.07,1737
2000.03.22,00:00,65.04,65.11,64.56,64.65,1750
2000.03.23,00:00,64.65,65.16,64.57,65.06,1843
2000.03.24,00:00,65.04,65.42,64.74,65,1438
2000.03.26,00:00,65.05,65.17,64.97,65.16,95
2000.03.27,00:00,65.2,65.83,65.08,65.48,1377
2000.03.28,00:00,65.47,65.61,64.9,65.22,1621
2000.03.29,00:00,65.2,65.4,63.87,64.72,1452
2000.03.30,00:00,64.69,64.86,63.9,64.8,1385
2000.03.31,00:00,64.81,65.04,61.53,62.4,940
2000.04.02,00:00,62.74,62.86,62.71,62.77,73
2000.04.03,00:00,62.81,64.06,62.42,63.95,1350
2000.04.04,00:00,63.92,63.98,63.06,63.73,1172
2000.04.05,00:00,63.67,63.97,63.27,63.32,1535
2000.04.06,00:00,63.26,63.71,62.81,63,1487
2000.04.07,00:00,63,63.38,62.6,62.94,1165
2000.04.09,00:00,62.99,62.99,62.89,62.91,53
2000.04.10,00:00,62.89,64.41,62.84,63.34,1860
2000.04.11,00:00,63.35,63.9,63.22,63.75,1530
2000.04.12,00:00,63.74,63.81,62.58,63.37,1598
2000.04.13,00:00,63.36,63.65,63,63.26,1373
2000.04.14,00:00,63.23,63.54,62.58,62.75,954
2000.04.16,00:00,62.86,63.05,62.79,62.94,55
2000.04.17,00:00,62.95,63.57,61.1,61.91,1455
2000.04.18,00:00,61.9,62.38,61.72,62.11,1534
2000.04.19,00:00,62.12,62.76,62.12,62.55,1475
2000.04.20,00:00,62.58,62.81,62.15,62.81,1418
2000.04.21,00:00,62.85,62.94,62.5,62.68,911
2000.04.23,00:00,62.69,62.77,62.65,62.67,17
2000.04.24,00:00,62.7,63.01,62.47,62.9,814
2000.04.25,00:00,62.97,63.1,62.52,62.96,1258
2000.04.26,00:00,62.94,62.94,62.03,62.61,1663
2000.04.27,00:00,62.61,62.84,62.29,62.41,1551
2000.04.28,00:00,62.44,63.42,62.4,63.1,1100
2000.04.30,00:00,62.92,63.04,62.92,62.93,3
2000.05.01,00:00,62.96,63.52,62.51,63.39,515
2000.05.02,00:00,63.34,63.96,63.24,63.46,756
2000.05.03,00:00,63.48,64.8,63.3,64.48,1501
2000.05.04,00:00,64.51,64.63,63.65,63.77,1298
2000.05.05,00:00,63.78,64.89,63.52,64.83,1049
2000.05.07,00:00,64.86,64.87,64.62,64.71,82
2000.05.08,00:00,64.72,65.15,63.21,63.59,1772
2000.05.09,00:00,63.54,64.01,62.97,63.58,1631
2000.05.10,00:00,63.52,63.94,63.22,63.59,1598
2000.05.11,00:00,63.62,64.04,62.38,62.79,1712
2000.05.12,00:00,62.71,63.28,62.32,62.77,1435
2000.05.14,00:00,63.29,63.38,63.15,63.15,24
2000.05.15,00:00,63.19,63.35,62.41,62.65,692
2000.05.16,00:00,62.62,63.53,62.52,63.17,1077
2000.05.17,00:00,63.23,63.23,61.87,62.18,1483
2000.05.18,00:00,62.19,62.53,61.68,61.88,1693
2000.05.19,00:00,61.89,62.39,60.94,61.43,1487
2000.05.21,00:00,61.33,61.37,61.25,61.25,55
2000.05.22,00:00,61.25,61.73,60.79,61.45,1603
2000.05.23,00:00,61.47,61.83,60.86,60.87,1484
2000.05.24,00:00,60.89,61.75,60.66,61.59,1414
2000.05.25,00:00,61.55,61.72,60.99,61.18,1447
2000.05.26,00:00,61.19,61.72,60.62,61.5,1359
2000.05.28,00:00,61.46,61.49,61.35,61.36,61
2000.05.29,00:00,61.39,61.61,61.13,61.23,1174
2000.05.30,00:00,61.27,62,61.16,61.31,1539
2000.05.31,00:00,61.29,61.83,60.99,61.52,1555
2000.06.01,00:00,61.51,62.45,61.32,62.1,1411
2000.06.02,00:00,62.03,62.83,61.76,62.71,975
2000.06.04,00:00,62.82,62.83,62.49,62.49,74
2000.06.05,00:00,62.52,63.04,62.33,62.47,1534
2000.06.06,00:00,62.48,62.62,62.02,62.42,1163
2000.06.07,00:00,62.45,62.8,62.05,62.53,1480
2000.06.08,00:00,62.57,62.68,62.02,62.27,1628
2000.06.09,00:00,62.28,63.02,62.18,62.96,1457
2000.06.11,00:00,62.72,62.72,62.58,62.68,57
2000.06.12,00:00,62.66,63.32,62.63,63.03,1255
2000.06.13,00:00,63.06,63.97,62.82,63.74,1429
2000.06.14,00:00,63.76,64.49,63.72,63.9,1805
2000.06.15,00:00,63.92,64.35,63.6,64.12,1502
2000.06.16,00:00,64.17,64.94,64.09,64.5,1394
2000.06.18,00:00,64.46,64.52,64.44,64.48,44
2000.06.19,00:00,64.47,64.68,63.52,63.6,1222
2000.06.20,00:00,63.65,64.13,63.39,63.42,1330
2000.06.21,00:00,63.4,63.74,63.01,63.42,1289
2000.06.22,00:00,63.41,63.57,61.92,62.42,1192
2000.06.23,00:00,62.43,62.61,61.96,62.31,1174
2000.06.25,00:00,62.21,62.38,62.14,62.38,61
2000.06.26,00:00,62.39,63.2,61.76,63.09,1259
2000.06.27,00:00,63.09,63.76,63,63.51,1261
2000.06.28,00:00,63.48,63.84,63.29,63.73,1243
2000.06.29,00:00,63.69,63.72,62.68,63.42,1279
2000.06.30,00:00,63.38,63.64,62.6,63.13,1145
2000.07.02,00:00,63.29,63.52,63.29,63.52,77
2000.07.03,00:00,63.52,63.96,63.2,63.39,1398
2000.07.04,00:00,63.41,63.78,63.11,63.45,1389
2000.07.05,00:00,63.46,63.5,62.95,62.98,1496
2000.07.06,00:00,63.05,63.62,62.95,63.45,1354
2000.07.07,00:00,63.44,63.88,62.97,63.86,1180
2000.07.09,00:00,63.81,63.88,63.78,63.86,54
2000.07.10,00:00,63.82,63.89,63.27,63.39,1173
2000.07.11,00:00,63.41,63.43,62.81,62.98,1127
2000.07.12,00:00,63.01,63.99,62.85,63.76,1293
2000.07.13,00:00,63.76,64.08,63.09,63.13,1289
2000.07.14,00:00,63.18,63.58,62.88,63.14,1166
2000.07.16,00:00,63.08,63.08,62.52,62.59,82
2000.07.17,00:00,62.63,63.9,62.48,63.44,1338
2000.07.18,00:00,63.46,63.53,62.77,62.85,1267
2000.07.19,00:00,62.89,63.05,62.23,62.38,1254
2000.07.20,00:00,62.4,62.88,62.2,62.53,1167
2000.07.21,00:00,62.48,64.08,62.48,63.91,1193
2000.07.23,00:00,63.77,63.82,63.72,63.81,60
2000.07.24,00:00,63.85,64.08,63.38,63.38,1174
2000.07.25,00:00,63.41,64.17,63.37,63.86,972
2000.07.26,00:00,63.89,64.69,63.63,64.46,1208
2000.07.27,00:00,64.45,64.88,64.09,64.3,1045
2000.07.28,00:00,64.33,64.64,64.2,64.5,484
2000.07.30,00:00,64.35,64.37,64.29,64.33,22
2000.07.31,00:00,64.32,64.32,63.14,63.57,518
2000.08.01,00:00,63.53,63.71,63.04,63.28,537
2000.08.02,00:00,63.26,63.87,62.48,63.68,618
2000.08.03,00:00,63.7,64.05,62.98,63.31,637
2000.08.04,00:00,63.38,63.69,62.96,63.68,544
2000.08.06,00:00,63.65,63.74,63.65,63.7,23
2000.08.07,00:00,63.68,64.22,63.57,64.02,658
2000.08.08,00:00,64.05,64.28,63.25,63.4,656
2000.08.09,00:00,63.37,63.56,62.31,62.48,589
2000.08.10,00:00,62.52,63.47,62.29,63.3,647
2000.08.11,00:00,63.29,63.51,62.76,62.78,484
2000.08.13,00:00,62.96,62.96,62.76,62.93,21
2000.08.14,00:00,62.97,63.88,62.88,63.84,577
2000.08.15,00:00,63.87,64.03,63.4,63.52,649
2000.08.16,00:00,63.51,64.46,63.44,64.13,599
2000.08.17,00:00,64.08,64.57,63.86,64.4,592
2000.08.18,00:00,64.41,64.88,63.78,63.97,656
2000.08.20,00:00,63.96,64.06,63.87,63.93,24
2000.08.21,00:00,63.84,64.09,63.58,63.84,588
2000.08.22,00:00,63.82,64.23,62.72,62.83,488
2000.08.23,00:00,62.8,62.84,60.84,61.31,624
2000.08.24,00:00,61.17,61.53,61.02,61.27,618
2000.08.25,00:00,61.26,61.66,60.97,61.36,707
2000.08.27,00:00,61.22,61.26,61.18,61.2,19
2000.08.28,00:00,61.19,61.29,60.69,60.81,583
2000.08.29,00:00,60.86,61.4,60.31,60.35,584
2000.08.30,00:00,60.43,61.43,60.33,61.38,631
2000.08.31,00:00,61.39,61.66,60.98,61.52,577
2000.09.01,00:00,61.55,61.72,60.79,61.06,543
2000.09.03,00:00,61.07,61.14,61.02,61.04,20
2000.09.04,00:00,61.06,61.24,60.73,60.95,567
2000.09.05,00:00,60.93,61.19,60.13,60.19,600
2000.09.06,00:00,60.18,60.39,59.37,59.75,617
2000.09.07,00:00,59.78,60.1,58.09,58.56,751
2000.09.08,00:00,58.57,59.36,58.51,58.96,584
2000.09.10,00:00,59.06,59.08,58.96,59.01,23
2000.09.11,00:00,59.02,59.63,58.91,59.39,626
2000.09.12,00:00,59.38,60.06,59.06,59.65,693
2000.09.13,00:00,59.68,59.79,59.1,59.29,670
2000.09.14,00:00,59.26,59.33,58.77,59.17,531
2000.09.15,00:00,59.04,59.41,58.3,58.3,491
2000.09.17,00:00,58.43,58.49,58.33,58.39,19
2000.09.18,00:00,58.37,58.46,57.8,58.07,510
2000.09.19,00:00,58.02,58.33,57.89,58.27,553
2000.09.20,00:00,58.23,58.43,57.19,57.51,575
2000.09.21,00:00,57.48,58.18,57.24,58.13,603
2000.09.22,00:00,58.07,60.06,58.03,58.76,563
2000.09.24,00:00,59.26,59.31,59.1,59.25,21
2000.09.25,00:00,59.23,59.37,58.56,59.17,582
2000.09.26,00:00,59.15,59.5,58.63,59.27,488
2000.09.27,00:00,59.31,59.33,58.8,59.12,591
2000.09.28,00:00,59.11,59.3,58.4,58.52,572
2000.09.29,00:00,58.53,58.85,58.23,58.66,513
2000.10.01,00:00,58.73,58.84,58.71,58.83,17
2000.10.02,00:00,58.84,59.67,58.46,59.43,550
2000.10.03,00:00,59.42,59.48,58.61,58.63,526
2000.10.04,00:00,58.56,58.88,58.19,58.57,535
2000.10.05,00:00,58.55,58.85,57.8,57.88,564
2000.10.06,00:00,57.95,58.33,57.73,58.07,490
2000.10.08,00:00,58.11,58.41,58.11,58.34,25
2000.10.09,00:00,58.39,58.49,58.11,58.19,415
2000.10.10,00:00,58.14,58.21,57.37,57.54,554
2000.10.11,00:00,57.55,58.02,57.28,57.4,548
2000.10.12,00:00,57.38,57.75,56.95,57.2,520
2000.10.13,00:00,57.22,57.43,56.82,56.87,535
2000.10.15,00:00,56.9,56.91,56.75,56.83,26
2000.10.16,00:00,56.79,57.03,56.42,56.66,601
2000.10.17,00:00,56.65,56.71,55.78,56.34,542
2000.10.18,00:00,56.36,56.56,55.54,56.13,539
2000.10.19,00:00,56.12,56.65,55.76,56.56,576
2000.10.20,00:00,56.54,57.76,56.45,57.67,654
2000.10.22,00:00,57.93,57.95,57.64,57.64,23
2000.10.23,00:00,57.7,57.89,56.92,57.05,502
2000.10.24,00:00,57.09,57.54,56.46,56.58,605
2000.10.25,00:00,56.61,57.06,55.96,56.28,572
2000.10.26,00:00,56.29,56.55,55.65,56.36,550
2000.10.27,00:00,56.38,57.04,56.13,56.85,464
2000.10.29,00:00,56.81,56.91,56.78,56.82,25
2000.10.30,00:00,56.79,57.45,56.76,56.77,560
2000.10.31,00:00,56.67,57.02,55.74,56.37,557
2000.11.01,00:00,56.42,57.06,56.21,56.59,500
2000.11.02,00:00,56.65,57.81,55.97,56.41,619
2000.11.03,00:00,56.52,57.21,56.15,56.29,501
2000.11.05,00:00,56.53,56.63,56.41,56.63,25
2000.11.06,00:00,56.64,56.83,56.35,56.57,582
2000.11.07,00:00,56.58,56.89,56.32,56.86,566
2000.11.08,00:00,56.83,57.08,56.45,56.55,512
2000.11.09,00:00,56.54,56.77,56.02,56.75,474
2000.11.10,00:00,56.76,57.04,55.98,56.04,458
2000.11.12,00:00,56.1,56.17,56.06,56.13,22
2000.11.13,00:00,56.14,56.32,55.86,56.07,428
2000.11.14,00:00,56.09,56.26,56.01,56.14,433
2000.11.15,00:00,56.18,56.72,56.03,56.65,458
2000.11.16,00:00,56.64,56.82,56.49,56.64,441
2000.11.17,00:00,56.66,56.78,56.44,56.48,411
2000.11.19,00:00,56.44,56.51,56.42,56.44,21
2000.11.20,00:00,56.45,56.64,55.91,56.44,469
2000.11.21,00:00,56.46,56.65,55.83,56.02,501
2000.11.22,00:00,56.01,58.24,55.9,58.04,547
2000.11.23,00:00,58.06,58.24,57.22,57.53,587
2000.11.24,00:00,57.44,58.38,57.25,58.23,611
2000.11.26,00:00,57.96,58.07,57.95,58.05,18
2000.11.27,00:00,58.03,58.43,57.64,58.11,557
2000.11.28,00:00,58.15,58.29,57.44,57.58,582
2000.11.29,00:00,57.61,58.28,57.5,58.09,547
2000.11.30,00:00,58.08,58.7,57.84,58.26,529
2000.12.01,00:00,58.25,60.02,58.25,59.89,565
2000.12.03,00:00,59.8,60.09,59.8,60.03,27
2000.12.04,00:00,59.97,60.65,59.58,60.44,548
2000.12.05,00:00,60.4,60.5,59.73,60.11,578
2000.12.06,00:00,60.07,60.7,60.02,60.43,583
2000.12.07,00:00,60.51,60.88,60.3,60.52,621
2000.12.08,00:00,60.54,60.91,60.21,60.85,479
2000.12.10,00:00,60.61,60.66,60.54,60.61,24
2000.12.11,00:00,60.59,60.63,59.67,59.96,599
2000.12.12,00:00,59.98,60.59,59.78,60.48,579
2000.12.13,00:00,60.53,61,60.43,60.79,603
2000.12.14,00:00,60.81,61.2,60.7,61.06,588
2000.12.15,00:00,61.08,61.68,61.08,61.39,488
2000.12.17,00:00,61.21,61.25,61.06,61.15,26
2000.12.18,00:00,61.17,61.53,60.53,60.85,645
2000.12.19,00:00,60.88,61.54,60.51,61.49,603
2000.12.20,00:00,61.52,62.5,61.46,62.5,573
2000.12.21,00:00,62.53,62.6,61.73,62.09,539
2000.12.22,00:00,62.06,62.9,62.05,62.81,442
2000.12.24,00:00,62.75,62.92,62.71,62.92,19
2000.12.25,00:00,62.94,63.04,62.65,62.96,265
2000.12.26,00:00,62.92,63.62,62.81,63.42,562
2000.12.27,00:00,63.4,63.99,63.3,63.74,667
2000.12.28,00:00,63.76,63.91,63.26,63.52,545
2000.12.29,00:00,63.53,64.02,63.44,63.87,530
2000.12.31,00:00,63.93,63.94,63.93,63.94,2
